201.217.24.80       rasp30.vox.com.py
200.29.231.33       mail.carpe.cl
179.27.94.82        r179-27-94-82.ir-static.adinet.com.uy
186.251.184.2       router01.vipnetsul.com.br
179.43.96.197       -
181.123.177.179     pool-179-177-123-181.telecel.com.py
181.115.249.4       -
181.167.80.174      174-80-167-181.fibertel.com.ar
201.230.111.52      client-201.230.111.52.speedy.net.pe
190.221.91.232      host232.190-221-91.telmex.net.ar
152.170.94.185      185-94-170-152.fibertel.com.ar
181.170.230.5       5-230-170-181.fibertel.com.ar      
181.170.234.11      11-234-170-181.fibertel.com.ar
186.54.64.214       r186-54-64-214.dialup.adsl.anteldata.net.uy
186.49.59.35        r186-49-59-35.dialup.adsl.anteldata.net.uy
181.164.106.100     100-106-164-181.fibertel.com.ar
190.18.7.20         20-7-18-190.fibertel.com.ar
186.49.61.78        r186-49-61-78.dialup.adsl.anteldata.net.uy
181.28.143.198      198-143-28-181.fibertel.com.ar
190.97.50.87        190-97-50-87.bvconline.com.ar
